state_code,district_code,subdistrict_code,town_code,area_name,residence,household_size_band,households_count,all_size_households_count,all_size_normal_household_persons_count,published_mean_household_size_persons,universe,source,source_id,source_sha256,source_row,observation_year,status
27,517,04157,000000,Sub-district - Talasari,Rural,3,2674,27789,149600,5.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,695,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Rural,4,4368,27789,149600,5.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,695,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Rural,5,5153,27789,149600,5.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,695,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Rural,6,4395,27789,149600,5.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,695,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Rural,7-10,7242,27789,149600,5.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,695,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Rural,11-14,707,27789,149600,5.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,695,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Rural,15+,94,27789,149600,5.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,695,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Urban,1,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Urban,2,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Urban,3,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
27,517,04157,000000,Sub-district - Talasari,Urban,4,0,0,0,0.0,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,696,2011,historical_control_not_current_demand
