stage_distance_as_printed_km,fare_class,base_fare_inr,source_page_1_based,source,source_id,source_sha256,transcription_sha256,effective_date_as_printed,status,model_ready
40,non_ac_adult,50,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
40,non_ac_concessional,25,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
40,ac_adult,55,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
40,ac_concessional,25,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
45,non_ac_adult,55,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
45,non_ac_concessional,25,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
45,ac_adult,60,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
45,ac_concessional,30,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
50,non_ac_adult,60,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
50,non_ac_concessional,30,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
50,ac_adult,65,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
50,ac_concessional,30,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
